MASTER_unique_id,catid,old title,original PD,new title,non-CET PD,CET PD,badge_id,year_badge_id,
am1,659,Module 1: Bringing the Arts to Your Global Classroom,15542,Bringing the Arts to Your Global Classroom,43029,n/a,5210,5200,
am2,659,A+ Module 2,15543,A+ Module 2,43033,n/a,5220,5200,
am3,659,A+ Module 3,15544,A+ Module 3,43037,n/a,5230,5200,
am4,659,A+ Module 4,15546,A+ Module 4,43041,n/a,5240,5200,
core612y1m1,91,Module 1: Globalizing Your Classroom,136,Becoming a Global Educator,43817,43821,551,550,
core612y1m2,91,Module 2: Teaching Conceptually,772,Globalizing Your Classroom,42769,43165,552,550,
core612y1m3,91,Module 3: Project-based Inquiry,1287,Teaching Conceptually,42797,43193,553,550,
core612y1m4,91,Module 4: Social Entrepreneurship,774,Social Entrepreneurship,42801,43197,554,550,
core612y2m1,90,Module 1: Intercultural Competence Inquiry,134,Mapping the Local and the Global,42765,43161,561,560,
core612y2m2,90,Module 2: Global Interdependence Inquiry,776,Global Interdependence Inquiry,42809,43205,562,560,
core612y2m3,90,Module 3: Visual Literacy and Inference Making,775,Visual Literacy and Inference Making,42805,43201,563,560,
core612y2m4,90,Module 4: Mapping the Local and the Global,135,Intercultural Competence Inquiry,42761,43157,564,560,
core612y3m1,92,Module 1: Understanding Student Global Competence,778,Understanding Student Global Competence,42817,43213,571,570,
core612y3m2,92,Module 2: Engaging Students with Global Challenges,777,Engaging Students with Global Challenges,42813,43209,572,570,
core612y3m3,92,Module 3: Beyond Your Classroom,137,Beyond Your Classroom,42773,43169,573,570,
core612y3m4,92,Module 4: World Innovations,779,World Innovations,42821,43217,574,570,
core612y4m1,653,Module 1: Framing Your Action Research Question,15520,Framing Your Action Research Question,42953,43349,581,580,
core612y4m2,653,Module 2: Planning and Implementing Your Action Research,15521,Planning and Implementing Your Action Research,42957,43353,582,580,
core612y4m3,653,Module 3: Collecting Your Data and Summarizing Your Action Research Findings,15522,Collecting Your Data and Summarizing Your Action Research Findings,42961,43357,583,580,
core612y4m4,653,Module 4: Telling Your Action Research Story,15523,Telling Your Action Research Story,42965,43361,584,580,
core612y5m1,787,Pathway: Teacher as a Mentor,42675,Pathway: Teacher as a Mentor,43085,43481,5720,5700,This module involves multiple badges - stay tuned! - LL
core612y5m2,787,Pathway: Instructional Innovator,42676,Pathway: Instructional Innovator,43089,n/a,5710,5700,
core612y5m3,787,Pathway: Teacher Advocate,42674,Pathway: Teacher Advocate,43081,n/a,5730,5700,
core612y5m4,787,Pathway: Do-it-Yourself,42671,Pathway: Do-it-Yourself,43077,n/a,5740,5700,
corek5y1m1,88,Module 1 : Globalizing Your Classroom,6041,Becoming a Global Educator,43673,43677,110,100,
corek5y1m2,88,Module 2: Culture in the Classroom,765,Globalizing Your Classroom,42869,43265,120,100,
corek5y1m3,88,Module 3: Beyond Your Classroom,127,Culture in the Classroom,42785,43181,130,100,
corek5y1m4,88,Module 4: Blogging in Your Classroom,128,Beyond Your Classroom,42741,43137,140,100,
corek5y2m1,89,Module 1: Intercultural Competence Inquiry,130,Intercultural Competence Inquiry,42749,43145,210,200,
corek5y2m2,89,Module 2: Global Interdependence Inquiry,132,Global Interdependence Inquiry,42753,43149,220,200,
corek5y2m3,89,Module 3: Internet and Society,764,Internet and Society,42781,43177,230,200,
corek5y2m4,89,Module 4: Mapping the Local and the Global,133,Mapping the Local and the Global,42757,43153,240,200,
corek5y3m1,87,Module 1: Understanding Student Global Competence,123,Understanding Student Global Competence,42733,43129,310,300,
corek5y3m2,87,Module 2: Engaging Students with Global Challenges,770,Engaging Students with Global Challenges,42789,43185,320,300,
