"CET's, years 1-4",,,,,,,,,,,
LC User Id,Module 1,Module 2,Module 3,Module 4,Module 1 alias,Module 2 alias,Module 3 alias,Module 4 alias,Term,Placed Subject,Placed Level
30278,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
34480,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
31099,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
37510,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
28063,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
39818,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
27822,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Second,Chinese - Mandarin,Elementary School
2806,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Third,Chinese - Mandarin,Elementary School
37552,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
28205,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Second,Chinese - Mandarin,Elementary School
36301,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Initial,Chinese - Mandarin,Elementary School
5439,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Third,Chinese - Mandarin,Elementary School
5523,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Third,Chinese - Mandarin,Elementary School
5399,43777,43173,43233,43241,cet-dl-k-5-year-1-module-1-training,cet-dl-k-5-year-1-module-2,cet-dl-k-5-year-1-module-3,cet-dl-k-5-year-1-module-4,Third,Chinese - Mandarin,Elementary School
28052,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Initial,Chinese - Mandarin,High School
2801,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Fourth,Chinese - Mandarin,High School
36303,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Initial,Chinese - Mandarin,High School
2707,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Fourth,Chinese - Mandarin,High School
27824,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Second,Chinese - Mandarin,High School
27425,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Initial,Chinese - Mandarin,High School
5434,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Third,Chinese - Mandarin,High School
36298,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Initial,Chinese - Mandarin,Middle School
22459,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Third,Chinese - Mandarin,Middle School
5627,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Third,Chinese - Mandarin,Middle School
28046,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Second,Chinese - Mandarin,Middle School
36302,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Initial,Chinese - Mandarin,Middle School
27747,43801,43329,43417,43421,cet-wl-year-1-module-1-training,cet-wl-year-1-module-2,cet-wl-year-1-module-3,cet-wl-year-1-module-4,Second,Chinese - Mandarin,Middle School
32655,43821,43165,43193,43197,cet-core-6-12-year-1-module-1-training,cet-core-6-12-year-1-module-2,cet-core-6-12-year-1-module-3,cet-core-6-12-year-1-module-4,Second,Educational/Instructional Technology,High School
40867,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
49209,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
28430,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
39193,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37546,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37770,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
29061,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
30203,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
43023,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
41879,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40002,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
42107,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
42555,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
38038,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37137,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
5380,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
30227,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
33164,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
43043,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
1465,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
33102,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40062,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37024,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
49085,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
2632,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
34719,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37350,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
