start_time,end_time or duration_in_minutes,hashtag/chat,daily/weekly/monthly,"day of the week, frequency (M,Tu,W,Th,F,Sa,Su      M-1-3,Th-2-4)",
,,,,,
6:30 AM,6:45 AM,#BFC530,weekly,"M, Tu, W, Th, F",
4:30 AM,4:45 AM,#BFC530,weekly,"M, Tu, W, Th, F",
5:30 PM,6:30 PM,#BadgeChatK12,weekly,M,
6:00 PM,7:00 PM,#engchat,monthly,"M-1, M-2, M-3",
6:00 PM,7:00 PM,#engsschat,monthly,M-4,
6:00 PM,7:00 PM,#formativechat,weekly,M,
7:00 PM,8:00 PM,#4thchat,weekly,M,
7:00 PM,8:00 PM,#Edtechchat,weekly,M,
7:00 PM,8:00 PM,#vachat,weekly,M,
9:00 PM,10:00 PM,#TOSAchat,weekly,M,
2:00 PM,3:00 PM,#ASEchat,weekly,M,
6:00 PM,6:30 PM,#kyadmin ,weekly,M,
6:00 PM,7:00 PM,#sschat,monthly,"M-1, M-2, M-3",
6:00 PM,7:00 PM,#plearnchat,bi-weekly,M,
6:30 PM,7:30 PM,#DubChat,weekly,M,
7:00 PM,8:00 PM,#Admin2B,monthky,M-1,FOR FEB & MARCH - OTHERWISE WEEKLY
7:00 PM,8:00 PM,#cdnedchat,weekly,M,
7:00 PM,8:00 PM,#collabed ,monthly,M-2,
7:00 PM,8:00 PM,#MASSPchat,weekly,M,
7:00 PM,8:00 PM,#musedchat,weekly,M,
7:00 PM,8:00 PM,#TLchat        ,monthly,M-2,
8:00 PM,9:00 PM,#tntechchat,weekly,M,
7:30 PM,8:30 PM,#GCHchat,monthly,M-1,
7:30 PM,8:30 PM,#NYEDChat ,bi-weekly,M,
10:00 PM,10:30 PM,#IEedchat,weekly,M,
8:00 PM,9:00 PM,#K12talent,monthly,"M-2, M-4",
10:00 PM,11:00 PM,#edchatHI,monthly,M-1,
9:00 PM,10:00 PM,#ILEdchat,weekly,M,
9:00 PM,10:00 PM,#ALedchat,weekly,M,
8:00 PM,9:00 PM,#ksedchat,weekly,M,
7:00 PM,7:30 PM,#DI4ALL,monthly,"Tu-1, Tu-3",
7:00 PM,8:00 PM,#LearnLAP ,weekly,M,
8:00 PM,9:00 PM,#OhEdChat,weekly,W,
8:00 PM,9:00 PM,#msmathchat        ,weekly,M,
8:00 PM,9:00 PM,#ELLCHAT,weekly,M,
8:00 PM,9:00 PM,#COLchat ,weekly,M,
8:00 PM,9:00 PM,#TeacherEdChat,weekly,M,
9:00 PM,10:00 PM,#resiliencechat,weekly,M,
9:00 PM,10:00 PM,#MexEdChat,monthly,"M-2, M-4",
1:00 AM,N/A,#AfricaEd,weekly,Th,
11:00 AM,12:00 PM,#edchat,weekly,Tu,
5:00 PM,6:00 PM,#edchat,weekly,Tu,
6:00 PM,7:00 PM,#reflectiveteacher,weekly,Tu,
6:00 PM,7:00 PM,#WeAreWayne,weekly,Tu,
7:00 PM,8:00 PM,#busedu,monthly,"Tu-1, Tu-3",
7:00 PM,8:00 PM,#5thchat,weekly,Tu,
7:00 PM,8:00 PM,	#ELAchat,monthly,"Tu-1, Tu-4",
7:00 PM,8:00 PM, #pisdedchat,weekly,Tu,
7:00 PM,8:00 PM,#ASCDL2L,monthly,Tu-1,
2:00 AM,3:00 AM,#SSDchat,weekly,W,
8:00 PM,9:00 PM,#edchatSD,bi-weekly,W,
11:00 AM,12:00 PM,#LDchat,weekly,W,
11:00 AM,12:00 PM,#IOLchat,weekly,W,
8:00 PM,9:00 PM,#ADEchat,weekly,Tu,
9:00 PM,10:00 PM,#MTedchat,weekly,Tu,
9:00 PM,10:00 PM,#connectEDtl,weekly,Tu,
8:00 PM,9:00 PM,#TXLchat,weekly,Tu,
8:00 PM,9:00 PM,#spanstuchat	,monthly,"Tu-1, Tu-3",
8:00 PM,9:00 PM,#TeachWriting,bi-weekly,Tu,
7:00 PM,8:00 PM,#NJed ,weekly,Tu,
7:30 PM,8:30 PM,#RuralEdChat	,weekly,Tu,
8:00 PM,8:30 PM,#elmused,weekly,Tu,
5:00 PM,6:00 PM,#makerED,weekly,Tu,
9:00 PM,10:00 PM,#edThink,weekly,Su,
7:00 PM,8:00 PM,#LAedchat,monthly,Tu-3,
7:00 PM,8:00 PM,#mdedchat	,weekly,Tu,
7:00 PM,8:00 PM,#MSSAAchat,monthly,Tu-2,
8:00 PM,9:00 PM,#6thchat,weekly,Tu,
8:00 PM,9:00 PM,#pbischat,bi-weekly,Tu,
7:00 PM,8:00 PM,#EngageChat,weekly,F,
7:00 PM,8:00 PM,#CTedu,weekly,Tu,
10:00 PM,11:00 PM,#7thchat,monthly,Tu-1,
8:00 PM,9:00 PM,#spedchat,bi-weekly,Tu,
7:00 PM,8:00 PM,#msla,monthly,Tu-2,
7:00 PM,8:00 PM,#vted	,bi-weekly,Th,
6:00 PM,7:00 PM,#ClasskickChat,weekly,Tu,
8:00 PM,8:30 PM,#udlchat,monthly,"Tu-1, Tu-3",
10:00 PM,11:00 PM,#UTedchat,weekly,W,
7:00 PM,8:00 PM,#gtchat,weekly,Tu,
1:00 PM,2:00 PM,#globalclassroom,monthly,Sa-2,
8:00 PM,9:00 PM,#TMchat ,weekly,Tu,
9:00 PM,10:00 PM,#Edbean,weekly,Tu,
9:00 PM,10:00 PM,#CathTheoEdChat,weekly,Tu,
9:00 PM,10:00 PM,#mntedu,weekly,Tu,
8:30 PM,9:00 PM,#ECEchat,weekly,Tu,
8:30 PM,9:00 PM,#learnbps,bi-weekly,Tu,
8:00 PM,9:00 PM,#CSISDchat,weekly,Tu,
8:00 PM,9:00 PM,#SchoologyChat,weekly,Tu,
8:00 PM,9:00 PM,#ReggioPLC,bi-weekly,Tu,
8:00 PM,9:00 PM,#risdchat,weekly,Tu,
