userid,old usergroup,new_usergroup,new_usergroup,lc_access_id,course_id,course_name,course_alias,moduletype,catid,access
993,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
993,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
993,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
993,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
993,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
993,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
993,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
993,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
994,12,13,Core 6-12 Year 2,8,42761,Intercultural Competence Inquiry (copy),copy-core-6-12-year-2-module-4,pd-copy,90,8
994,12,13,Core 6-12 Year 2,8,42765,Mapping the Local and the Global (copy),copy-core-6-12-year-2-module-1,pd-copy,90,8
994,12,13,Core 6-12 Year 2,8,42805,Visual Literacy and Inference Making (copy),copy-core-6-12-year-2-module-3,pd-copy,90,8
994,12,13,Core 6-12 Year 2,8,42809,Global Interdependence Inquiry (copy),copy-core-6-12-year-2-module-2,pd-copy,90,8
994,13,14,Core 6-12 Year 3,9,42773,Beyond Your Classroom (copy),copy-core-6-12-year-3-module-3,pd-copy,92,9
994,13,14,Core 6-12 Year 3,9,42813,Engaging Students with Global Challenges (copy),copy-core-6-12-year-3-module-2,pd-copy,92,9
994,13,14,Core 6-12 Year 3,9,42817,Understanding Student Global Competence (copy),copy-core-6-12-year-3-module-1,pd-copy,92,9
994,13,14,Core 6-12 Year 3,9,42821,World Innovations (copy),copy-core-6-12-year-3-module-4,pd-copy,92,9
994,14,70,Core 6-12 Year 4,69,42953,Framing Your Action Research Question (copy),copy-core-6-12-year-4-module-1,pd-copy,653,69
994,14,70,Core 6-12 Year 4,69,42957,Planning and Implementing Your Action Research (copy),copy-core-6-12-year-4-module-2,pd-copy,653,69
994,14,70,Core 6-12 Year 4,69,42961,Collecting Your Data and Summarizing Your Action Research Findings (copy),copy-core-6-12-year-4-module-3,pd-copy,653,69
994,14,70,Core 6-12 Year 4,69,42965,Telling Your Action Research Story (copy),copy-core-6-12-year-4-module-4,pd-copy,653,69
996,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
996,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
996,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
996,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
996,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
996,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
996,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
996,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
